iter	MultiClass
0	2.303969435
1	2.22831553
2	2.165022374
3	2.108862724
4	2.062376937
5	2.013544414
6	1.971128365
7	1.931492102
8	1.897314223
9	1.864154945
10	1.835920887
11	1.807868961
12	1.780738035
13	1.757967519
14	1.735578939
15	1.714909007
16	1.693471385
17	1.664786029
18	1.638927356
19	1.614299076
20	1.595068012
21	1.572344492
22	1.553012112
23	1.539526216
24	1.523766009
25	1.510289138
26	1.493565143
27	1.483110696
28	1.46709152
29	1.458194477
30	1.44359575
31	1.434850578
32	1.427273232
33	1.41608102
34	1.404639052
35	1.393937355
36	1.385294731
37	1.377029507
38	1.371165962
39	1.361470578
40	1.353061241
41	1.344390384
42	1.33714883
43	1.329391429
44	1.321395498
45	1.313870456
46	1.306932152
47	1.299267979
48	1.291165877
49	1.283935584
50	1.27719675
51	1.270722504
52	1.264464463
53	1.258961503
54	1.253702901
55	1.247912291
56	1.242483247
57	1.237514567
58	1.232644212
59	1.228251326
60	1.223967119
61	1.219128511
62	1.214380455
63	1.208089147
64	1.202490947
65	1.199138418
66	1.195792283
67	1.192025997
68	1.187323665
69	1.184100573
70	1.181564189
71	1.179909162
72	1.176206906
73	1.172447444
74	1.169079447
75	1.166426692
76	1.161777281
77	1.158967783
78	1.156539791
79	1.153214485
80	1.15070828
81	1.147923865
82	1.144534287
83	1.142518546
84	1.139781543
85	1.137048186
86	1.133892297
87	1.131582513
88	1.128471234
89	1.125800784
90	1.123609217
91	1.120486913
92	1.118650538
93	1.116721792
94	1.115037543
95	1.113134089
96	1.111032755
97	1.109274522
98	1.107301881
99	1.105460115
100	1.104021595
101	1.102366797
102	1.100886967
103	1.099683397
104	1.097871257
105	1.095720361
106	1.093276253
107	1.090498623
108	1.087209397
109	1.085942059
110	1.084464163
111	1.082595119
112	1.080394154
113	1.07915532
114	1.077210953
115	1.075331069
116	1.072916642
117	1.071544987
118	1.069624891
119	1.068296938
120	1.066351345
121	1.065178388
122	1.064002555
123	1.062669619
124	1.061562347
125	1.060155575
126	1.059092064
127	1.057316608
128	1.056360085
129	1.055526379
130	1.05319777
131	1.051360145
132	1.050187846
133	1.048909246
134	1.047509643
135	1.045221275
136	1.043336787
137	1.042075222
138	1.039731642
139	1.038833358
140	1.037453333
141	1.035597259
142	1.035175808
143	1.033787239
144	1.032842714
145	1.031737216
146	1.030841382
147	1.02908906
148	1.027925298
149	1.027155077
150	1.026553348
151	1.02607451
152	1.02467535
153	1.023795169
154	1.02292573
155	1.022061628
156	1.020834047
157	1.019860344
158	1.019399276
159	1.017887298
160	1.01686905
161	1.016254295
162	1.015351148
163	1.014631287
164	1.013625237
165	1.013100525
166	1.011282522
167	1.01041567
168	1.009128896
169	1.008082825
170	1.0072564
171	1.006762354
172	1.005283882
173	1.004432192
174	1.003618461
175	1.001921475
176	1.000740955
177	1.000081007
178	0.998873727
179	0.9981493006
180	0.997707242
181	0.9968533711
182	0.9960927446
183	0.9951881544
184	0.9941947003
185	0.9937511814
186	0.9926856835
187	0.9920120538
188	0.9916827864
189	0.9906968126
190	0.9892860585
191	0.9885263499
192	0.987593774
193	0.9863768755
194	0.9855692558
195	0.9847646545
196	0.9842921039
197	0.9833310138
198	0.982543453
199	0.9818281023
200	0.9812466729
201	0.9804840387
202	0.9798998168
203	0.9780812885
204	0.9772190832
205	0.9760304175
206	0.97550906
207	0.9742096175
208	0.9734672502
209	0.9724512409
210	0.9717895245
211	0.9704009332
212	0.9694804755
213	0.968164609
214	0.967316241
215	0.9661477811
216	0.9654076191
217	0.9646905703
218	0.9638896189
219	0.9628419552
220	0.9620321946
221	0.9606744223
222	0.9598818348
223	0.9591027383
224	0.958319635
225	0.9574655758
226	0.9564113245
227	0.9550543525
228	0.9544167927
229	0.9533698358
230	0.9522339986
231	0.9513557775
232	0.9502513011
233	0.9492629038
234	0.9482863402
235	0.9474062471
236	0.9467074876
237	0.9458331162
238	0.944762523
239	0.9438703286
240	0.9425495949
241	0.94175805
242	0.9409451276
243	0.9403076655
244	0.9394489207
245	0.9388593271
246	0.9382364342
247	0.9374889505
248	0.9365013286
249	0.9354877518
250	0.9346769342
251	0.9340076686
252	0.9334803916
253	0.9329391987
254	0.9323915121
255	0.9313945312
256	0.9308518353
257	0.9302093124
258	0.9294190276
259	0.9289135311
260	0.9281956444
261	0.9271812687
262	0.9263394621
263	0.9258291969
264	0.9250189097
265	0.9241046349
266	0.9234997423
267	0.922670127
268	0.922184616
269	0.9211904383
270	0.9203393951
271	0.919561771
272	0.9187127596
273	0.9182465445
274	0.9176102732
275	0.9164134861
276	0.9155242047
277	0.9149638492
278	0.9143917082
279	0.9137949714
280	0.9132178487
281	0.9125262316
282	0.9121875927
283	0.9116728965
284	0.9110354463
285	0.9105755822
286	0.9102516033
287	0.9093650634
288	0.9086136524
289	0.9075670655
290	0.906892556
291	0.9060519231
292	0.90534824
293	0.905004913
294	0.9043956108
295	0.9038694056
296	0.9031618336
297	0.9023086685
298	0.9018713611
299	0.9013795486
300	0.9005728958
