iter	Passed	Remaining
0	544	5439758
1	858	4289416
2	1176	3919894
3	1470	3675652
4	1778	3555867
5	2089	3480564
6	2395	3420419
7	2717	3394542
8	3036	3370345
9	3341	3338378
10	3668	3331002
11	3995	3325561
12	4303	3305822
13	4733	3376303
14	5046	3359235
15	5352	3339984
16	5662	3325415
17	6007	3331458
18	6289	3303806
19	6593	3290176
20	6905	3281652
21	7185	3258946
22	7485	3247106
23	7801	3242932
24	8098	3231164
25	8389	3218344
26	8702	3214277
27	9011	3209327
28	9425	3240580
29	9732	3234495
30	10056	3234047
31	10333	3219007
32	10594	3199843
33	10975	3217108
34	11298	3216740
35	11630	3219116
36	11894	3202824
37	12206	3200070
38	12552	3206025
39	12901	3212534
40	13255	3219844
41	13593	3223001
42	13934	3226664
43	14255	3225739
44	14586	3226802
45	14920	3228772
46	15233	3225934
47	15503	3214372
48	15827	3214354
49	16156	3215151
50	16525	3223749
51	16880	3229340
52	17317	3250190
53	17716	3263078
54	18105	3273862
55	18570	3297658
56	19091	3330375
57	19445	3333258
58	19863	3346852
59	20334	3368798
60	20761	3382749
61	21111	3383894
62	21444	3382436
63	21762	3378634
64	22092	3376827
65	22414	3373723
66	22765	3375115
67	23075	3370451
68	23395	3367297
69	23726	3365789
70	24046	3362852
71	24372	3360712
72	24696	3358405
73	25025	3356762
74	25420	3364014
75	25740	3361180
76	26042	3356069
77	26412	3359793
78	26741	3358230
79	27058	3355312
80	27367	3351363
81	27698	3350117
82	28028	3348894
83	28359	3347782
84	28716	3349746
85	29038	3347574
86	29375	3347080
87	29713	3346840
88	30053	3346701
89	30388	3346138
90	30727	3345955
91	31085	3347773
92	31350	3339706
93	31614	3331609
94	31934	3329594
95	32198	3321847
96	32525	3320581
97	32844	3318614
98	33122	3312586
99	33441	3310719
100	33700	3302941
101	34020	3301307
102	34347	3300386
103	34671	3299090
104	34993	3297741
105	35313	3296135
106	35624	3293736
107	35942	3292039
108	36252	3289698
109	36470	3279050
110	36791	3277721
111	37097	3275164
112	37429	3274935
113	37756	3274180
114	38087	3273877
115	38422	3273840
