iter	MultiClass
0	2.306486161
1	2.228215954
2	2.16398336
3	2.104800583
4	2.05285645
5	2.012259899
6	1.969366792
7	1.930388856
8	1.893679065
9	1.860903316
10	1.831866784
11	1.802152729
12	1.775128936
13	1.751532157
14	1.730208379
15	1.697126649
16	1.668418693
17	1.648239819
18	1.621388148
19	1.601806721
20	1.579112601
21	1.564191629
22	1.547354031
23	1.527733087
24	1.514873141
25	1.502479497
26	1.49110972
27	1.473523994
28	1.457817057
29	1.444506877
30	1.434277994
31	1.424472602
32	1.415528283
33	1.403317789
34	1.390650888
35	1.380558393
36	1.370669389
37	1.362517786
38	1.352274926
39	1.342809988
40	1.334191769
41	1.325254777
42	1.320824328
43	1.314830164
44	1.308645488
45	1.302792306
46	1.296868391
47	1.291807635
48	1.285808309
49	1.27852199
50	1.272625601
51	1.267044764
52	1.262305781
53	1.255862302
54	1.248753486
55	1.243517218
56	1.239461995
57	1.234729815
58	1.228893826
59	1.223903783
60	1.219014707
61	1.215584118
62	1.21145478
63	1.207529411
64	1.201624973
65	1.197802586
66	1.19368458
67	1.189027677
68	1.185037756
69	1.182218244
70	1.177142784
71	1.173832478
72	1.171676112
73	1.169273067
74	1.16583556
75	1.161261429
76	1.157993828
77	1.155668976
78	1.152260067
79	1.149857004
80	1.1469217
81	1.144712278
82	1.140819463
83	1.138641324
84	1.136166303
85	1.132499506
86	1.130410917
87	1.126671435
88	1.124424698
89	1.121594267
90	1.118479662
91	1.115471524
92	1.11306753
93	1.111276251
94	1.108539274
95	1.106296497
96	1.102801212
97	1.100438418
98	1.097560132
99	1.096375954
100	1.094423408
101	1.092673711
102	1.089896418
103	1.087763829
104	1.086798812
105	1.085091418
106	1.083004709
107	1.081353462
108	1.079384257
109	1.077751528
110	1.075699148
111	1.074427041
112	1.07275169
113	1.070551559
114	1.068284889
115	1.066087643
116	1.064448019
117	1.063327356
118	1.061163798
119	1.059576228
120	1.058421942
121	1.056191573
122	1.054278197
123	1.052843815
124	1.050666189
125	1.048690458
126	1.04627236
127	1.044608566
128	1.042462224
129	1.041131704
130	1.038944639
131	1.037867241
132	1.036940295
133	1.035771443
134	1.034165106
135	1.033403554
136	1.031242906
137	1.030151055
138	1.028808731
139	1.027774475
140	1.026567219
141	1.025267992
142	1.024100395
143	1.022449027
144	1.02096004
145	1.019355085
146	1.018069735
147	1.016931079
148	1.015667634
149	1.013979761
150	1.013004856
151	1.011948318
152	1.011439836
153	1.009899179
154	1.008980783
155	1.00762116
156	1.006337801
157	1.005039037
158	1.004154837
159	1.003127634
160	1.001804254
161	1.000788519
162	0.9999132756
163	0.999058619
164	0.9982112466
165	0.9970266777
166	0.9955344379
167	0.9948305887
168	0.9942253003
169	0.9935865789
170	0.9923417094
171	0.9913259264
172	0.9905241089
173	0.9896437206
174	0.9889740879
175	0.9879608963
176	0.9867240335
177	0.9859375593
178	0.9852167131
179	0.9839163974
180	0.9833337082
181	0.9826043714
182	0.9817752003
183	0.9804804648
184	0.980132565
185	0.979394657
186	0.9786613875
187	0.9772028572
188	0.9759827558
189	0.975081035
190	0.9744236775
191	0.9737958976
192	0.9732486413
193	0.9720823149
194	0.971306878
195	0.9709083839
196	0.9702032604
197	0.9693806114
198	0.9684221431
199	0.9677234592
200	0.9669490363
201	0.9659168477
202	0.9651936853
203	0.9644127753
204	0.9638248162
205	0.9624903562
206	0.9615994668
207	0.9612435341
208	0.9599694408
209	0.9589944943
210	0.9577129452
211	0.9568623886
212	0.9562543972
213	0.9550367991
214	0.954095656
215	0.953263918
216	0.9526673967
217	0.9513550366
218	0.9503813114
219	0.9498725583
220	0.9492402582
221	0.9483612547
222	0.9478582241
223	0.9472895486
224	0.9460885719
225	0.9456747989
226	0.9452736691
227	0.9445288653
228	0.9440328572
229	0.9434317508
230	0.9421439619
231	0.9413090717
232	0.9404867943
233	0.9395650465
234	0.9386127311
235	0.9376827806
236	0.9365926341
237	0.9358786109
238	0.9349995338
239	0.9340683178
240	0.9335840989
241	0.9326091861
242	0.9318004876
243	0.9312193775
244	0.9302872888
245	0.9297208742
246	0.9288918225
247	0.9283879297
248	0.9275892908
249	0.9268474465
250	0.9255488103
251	0.9246975608
252	0.9239522848
253	0.9231250533
254	0.9223011537
255	0.9217993449
256	0.9209974812
257	0.9202130235
258	0.9194290863
259	0.9185174848
260	0.9179922827
261	0.9172405075
262	0.9161931867
263	0.9154535132
264	0.9145717945
265	0.9138091282
266	0.9130318265
267	0.9120637036
268	0.9113964639
269	0.9107447263
270	0.9100330133
271	0.9090903092
272	0.9084651326
273	0.9075748727
274	0.9066466451
275	0.9057560634
276	0.9051947443
277	0.9045631219
278	0.9041631937
279	0.9033781523
280	0.9025200762
281	0.9021319658
282	0.9015353555
283	0.9009954476
284	0.9002881955
285	0.8995632829
286	0.8987394238
287	0.8984445838
288	0.8978124807
289	0.8972733819
290	0.8966368815
291	0.8958607264
292	0.8952012196
293	0.8945567127
294	0.8941415774
295	0.8935951973
