iter	Passed	Remaining
0	841	8413729
1	1929	9646024
2	2928	9758499
3	3815	9534942
4	4633	9263091
5	5511	9179974
6	6376	9103345
7	7565	9448899
8	8791	9759791
9	9836	9826883
10	10747	9759475
11	11756	9785081
12	13152	10104238
13	14254	10167341
14	15083	10040297
15	15757	9832511
16	16539	9712465
17	17270	9577493
18	18034	9473989
19	18856	9409623
20	19812	9414698
21	20808	9437435
22	21912	9505048
23	23042	9577810
24	23953	9557410
25	25575	9811054
26	26563	9811863
27	27913	9941355
28	29278	10066902
29	30469	10126175
30	31569	10152214
31	32668	10176270
32	33914	10243229
33	35005	10260687
34	36559	10408879
35	37730	10442854
36	39073	10521424
37	40163	10529093
38	41310	10551027
39	42354	10546158
40	43550	10578405
41	44825	10627881
42	45884	10624837
43	47131	10664628
44	48049	10629559
45	49318	10672130
46	50428	10679107
47	51597	10697876
48	52707	10703988
49	53812	10708653
50	54966	10722810
51	56185	10748686
52	57315	10756964
53	58394	10755479
54	59565	10770444
55	60832	10802026
56	62130	10837989
57	63602	10902356
58	65038	10958403
59	66458	11009976
60	67586	11012211
61	68431	10968916
62	69555	10971015
63	70689	10974510
64	71693	10958128
65	72791	10956252
66	73602	10911898
67	74793	10924321
68	75975	10935036
69	76853	10902183
70	78117	10924350
71	79132	10911450
72	80258	10914117
73	81268	10900970
74	82317	10893323
75	83187	10862561
76	84182	10848606
77	85295	10850059
78	86418	10852667
79	87415	10839506
80	88559	10844683
81	89706	10850083
82	90623	10827883
83	91479	10798917
84	92964	10844022
85	94962	10947174
86	96435	10988055
87	97313	10961027
88	98971	11021381
89	100107	11022918
90	100960	10993652
91	101924	10976839
92	103262	11000196
93	104311	10992616
94	105351	10984303
95	106335	10970266
96	107378	10962607
97	108580	10971073
98	109650	10966194
99	110618	10951264
100	111548	10932823
101	112556	10922433
102	113516	10907533
103	114481	10893399
104	115394	10874567
105	116439	10868443
106	117382	10852938
107	118308	10836210
108	119172	10814068
109	120022	10791150
110	120819	10763824
111	121634	10738604
112	122621	10728840
113	123568	10715802
114	124561	10706887
115	125414	10686195
116	126372	10674689
117	127583	10684591
118	128601	10678285
119	129589	10669538
120	130506	10655162
121	131616	10656604
122	132502	10640024
123	133474	10630559
124	134347	10613478
125	135234	10597662
126	135966	10570040
127	137474	10602705
128	138698	10613090
129	139812	10615020
130	140855	10611480
131	141954	10612150
132	142760	10591097
133	143653	10576729
134	144503	10559470
135	145222	10532884
136	146111	10518931
137	147301	10526722
138	148425	10529701
139	149413	10523012
140	150651	10533833
141	151785	10537304
142	152988	10545484
143	153989	10539708
144	155091	10540870
145	156539	10565330
146	157523	10558377
147	158419	10545633
148	159514	10546168
149	160633	10548278
150	161731	10548936
151	162705	10541612
152	163629	10531120
153	164424	10512522
154	165368	10503593
155	166175	10486087
156	167075	10474666
157	167924	10460227
158	168843	10450227
159	169673	10434944
160	170847	10440770
161	172026	10446910
162	172736	10424574
163	173372	10398111
164	174050	10374477
165	174836	10357510
166	175494	10333151
167	176228	10313574
168	177009	10296906
169	177676	10273880
170	178399	10254321
171	179199	10239347
172	180041	10226961
173	181056	10224479
174	181843	10209215
175	182779	10202396
176	183932	10207736
177	184953	10205701
178	185726	10190039
179	186708	10186012
180	187459	10169443
181	188431	10164961
