Id,Class
14397,6
14398,6
14399,9
14400,10
14401,5
14402,6
14403,10
14404,10
14405,5
14406,10
14407,6
14408,10
14409,5
14410,6
14411,8
14412,0
14413,6
14414,10
14415,10
14416,10
14417,10
14418,9
14419,6
14420,10
14421,10
14422,9
14423,10
14424,10
14425,8
14426,6
14427,2
14428,0
14429,8
14430,9
14431,8
14432,10
14433,10
14434,9
14435,4
14436,10
14437,10
14438,5
14439,10
14440,9
14441,10
14442,9
14443,6
14444,5
14445,8
14446,10
14447,10
14448,10
14449,8
14450,5
14451,8
14452,10
14453,1
14454,6
14455,8
14456,5
14457,8
14458,6
14459,0
14460,6
14461,10
14462,8
14463,8
14464,10
14465,0
14466,10
14467,10
14468,6
14469,10
14470,10
14471,7
14472,10
14473,5
14474,10
14475,9
14476,10
14477,2
14478,6
14479,1
14480,7
14481,9
14482,3
14483,4
14484,8
14485,10
14486,5
14487,5
14488,2
14489,4
14490,0
14491,10
14492,0
14493,10
14494,1
14495,10
14496,10
14497,3
14498,6
14499,8
14500,8
14501,6
14502,5
14503,10
14504,9
14505,10
14506,6
14507,1
14508,10
14509,10
14510,10
14511,8
14512,1
14513,10
14514,10
14515,10
14516,5
14517,10
14518,6
14519,5
14520,10
14521,8
14522,6
14523,10
14524,5
14525,10
14526,2
14527,9
14528,10
14529,7
14530,10
14531,10
14532,8
14533,6
14534,7
14535,9
14536,10
14537,6
14538,8
14539,9
14540,10
14541,6
14542,10
14543,0
14544,10
14545,10
14546,4
14547,10
14548,5
14549,5
14550,1
14551,7
14552,6
14553,6
14554,10
14555,5
14556,6
14557,6
14558,10
14559,10
14560,5
14561,10
14562,10
14563,10
14564,9
14565,6
14566,9
14567,4
14568,10
14569,8
14570,8
14571,9
14572,10
14573,9
14574,10
14575,9
14576,10
14577,10
14578,4
14579,6
14580,10
14581,10
14582,2
14583,8
14584,9
14585,8
14586,0
14587,10
14588,10
14589,8
14590,8
14591,10
14592,8
14593,9
14594,6
14595,2
14596,4
14597,9
14598,10
14599,10
14600,10
14601,10
14602,10
14603,8
14604,10
14605,6
14606,10
14607,0
14608,10
14609,10
14610,6
14611,10
14612,8
14613,10
14614,2
14615,2
14616,6
14617,0
14618,8
14619,6
14620,5
14621,4
14622,10
14623,10
14624,8
14625,8
14626,6
14627,5
14628,8
14629,5
14630,3
14631,9
14632,7
14633,9
14634,9
14635,10
14636,1
14637,2
14638,10
14639,1
14640,9
14641,6
14642,5
14643,0
14644,7
14645,10
14646,5
14647,10
14648,9
14649,10
14650,10
14651,10
14652,6
14653,10
14654,1
14655,10
14656,10
14657,9
14658,8
14659,9
14660,5
14661,10
14662,6
14663,8
14664,6
14665,7
14666,5
14667,9
14668,10
14669,5
14670,9
14671,6
14672,6
