Artist Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
4260,37.0,0.334,0.536,9.0,-6.649,0,0.0381,0.378,0.00392,0.106,0.235,152.429,204947.0,4,9
6558,67.0,0.725,0.747,11.0,-5.545,1,0.0876,0.0272,0.0468,0.104,0.38,132.921,191956.0,4,6
5639,44.0,0.584,0.804,7.0,-6.094,1,0.0619,0.000968,0.635,0.284,0.635,159.953,161037.0,4,10
1750,12.0,0.515,0.308,6.0,-14.711,1,0.0312,0.907,0.0213,0.3,0.501,172.472,298093.0,3,2
1377,48.0,0.565,0.777,6.0,-5.096,0,0.249,0.183,0.00392,0.211,0.619,88.311,254145.0,4,5
687,38.0,0.657,0.813,7.0,-7.861,1,0.216,0.00834,0.0492,0.208,0.589,82.035,219587.0,4,10
5888,11.0,0.658,0.431,1.0,-12.718,0,0.03,0.615,0.292,0.0902,0.528,132.045,3.893933333,5,0
7524,45.0,0.441,0.994,7.0,-2.934,1,0.239,7.25e-05,0.000147,0.382,0.0478,139.931,213125.0,4,8
1459,38.0,0.446,0.816,9.0,-9.762,1,0.0766,0.318,0.00392,0.339,0.718,183.696,165293.0,4,10
1655,58.0,0.852,0.535,7.0,-5.94,0,0.0896,0.439,8.18e-05,0.246,0.483,103.007,205056.0,4,5
1782,68.0,0.551,0.825,5.0,-6.24,0,0.044,0.152,6.2e-06,0.0999,0.933,164.857,4.347116667,4,4
2023,51.0,0.856,0.605,6.0,-7.691,0,0.048,0.0202,0.833,0.0661,0.6,123.998,181935.0,4,6
276,57.0,0.279,0.806,6.0,-4.714,0,0.0448,0.00499,0.0126,0.116,0.132,149.463,478133.0,3,8
6982,19.0,0.751,0.624,7.0,-3.366,1,0.0519,0.000117,0.0566,0.305,0.71,125.854,279360.0,4,6
3573,70.0,0.571,0.618,10.0,-4.966,1,0.0445,0.147,0.00392,0.159,0.288,138.03,3.863866667,4,4
1532,47.0,0.91,0.559,1.0,-10.883,1,0.0876,0.0205,0.509,0.103,0.412,114.005,153684.0,4,9
506,25.0,0.529,0.726,5.0,-4.603,1,0.0908,0.0426,0.886,0.0649,0.36,130.034,285074.0,4,6
2354,61.0,0.365,0.892,4.0,-8.036,0,0.0786,3.31e-05,0.0948,0.751,0.176,136.133,323373.0,4,10
6611,10.0,0.232,0.895,2.0,-2.834,1,0.0517,0.66,0.00392,0.124,0.343,175.443,5.227266667,4,0
4523,4.0,0.525,0.395,6.0,-9.291,1,0.0771,0.679,0.00125,0.227,0.889,124.537,3.398883333,4,3
